time,lower,upper,prediction,ground_truth
1970--6--7.375,-83.99,66.3311101244,25.2306309056,-14.01
1970--6--7.41666666667,-39.8208042512,66.3311217241,24.8997784594,-13.47
1970--6--7.45833333333,-36.6965390182,66.3311343328,24.7390234912,-12.93
1970--6--7.5,-34.6874397841,66.3311480297,24.5812291242,-12.45
1970--6--7.54166666667,-33.1632211723,66.3311627649,24.426281131,-12.06
1970--6--7.58333333333,-31.9237570132,66.3311783959,24.2740634768,-11.67
1970--6--7.625,-30.8648914006,66.3311949718,24.1245189039,-11.34
1970--6--7.66666666667,-29.9385944267,66.3312123871,23.977536802,-10.98
1970--6--7.70833333333,-29.105474105,66.3312307628,23.8330793963,-10.68
1970--6--7.75,-28.3497784302,66.3312499753,23.6910310201,-10.38
1970--6--7.79166666667,-27.6547465306,66.3312700591,23.551343123,-10.08
1970--6--7.83333333333,-27.008522011,66.3312910493,23.4139524687,-9.78
1970--6--7.875,-26.4024167443,66.3313129816,23.2787988527,-9.51
1970--6--7.91666666667,-25.8322960664,66.3313357903,23.145802332,-9.21
1970--6--7.95833333333,-25.29031423,66.3313596109,23.0149413516,-8.88
1970--6--8,-24.7703358087,66.3313845912,22.8861773945,-8.49
1970--6--8.04166666667,-24.265653523,66.3314109915,22.7595018287,-8.37
1970--6--8.08333333333,-23.7945046799,66.3314376996,22.6346089173,-8.01
1970--6--8.125,-23.3404671188,66.3314654614,22.511776303,-7.71
1970--6--8.16666666667,-22.9007756927,66.3314943688,18.014898488,-7.41
1970--6--8.20833333333,-22.4739302643,66.3315244618,17.9012030308,-7.14
1970--6--8.25,-22.058249426,66.3315558121,17.7893185966,-6.75
1970--6--8.29166666667,-21.6459242384,66.331589027,17.6794254075,-6.36
1970--6--8.33333333333,-21.2371380328,66.3316241654,11.7568816907,-6.0
1970--6--8.375,-20.8331777985,66.331661178,11.6612441117,-5.91
1970--6--8.41666666667,-20.4485420348,66.3316986536,11.5667132889,-5.7
1970--6--8.45833333333,-20.0751184369,66.3317372392,11.4740804256,-5.49
1970--6--8.5,-19.7123394284,66.3317769138,-10.1601752812,-5.28
1970--6--8.54166666667,-19.3591366956,66.3318177208,-10.0942527716,-5.07
1970--6--8.58333333333,-19.0151698098,66.3318596308,-9.96422226185,-4.95
1970--6--8.625,-18.6840109958,66.3319020994,-9.89812672474,-4.86
1970--6--8.66666666667,-18.3661846944,66.331944903,-9.83273663301,-4.83
1970--6--8.70833333333,-18.0654361867,66.3319873317,-9.76955698876,-4.77
1970--6--8.75,-17.7750623827,66.3320301458,-9.5400825425,-4.71
1970--6--8.79166666667,-17.4967198318,66.33207296,-9.46291172916,-4.68
1970--6--8.83333333333,-17.230188546,66.332115646,-4.33211413325,-4.59
1970--6--8.875,-16.9716682851,66.3321586852,-4.33703107916,-4.53
1970--6--8.91666666667,-16.7213939536,66.3322019395,-4.34081239582,-4.44
1970--6--8.95833333333,-16.4776058715,66.3322456259,-4.2739340134,-4.26
1970--6--9,-16.2369105237,66.3322903129,-4.2685952168,-4.11
1970--6--9.04166666667,-15.9996531389,66.3323359212,-4.2601746093,-4.17
1970--6--9.08333333333,-15.7731871541,66.3323809406,-4.25939094659,-4.02
1970--6--9.125,-15.550348295,66.3324267026,-4.1929300876,-3.84
1970--6--9.16666666667,-15.3293933818,66.3324735538,-4.17892459938,-3.72
1970--6--9.20833333333,-15.1123092091,66.3325210559,-4.16398245979,-3.57
1970--6--9.25,-14.8986472279,66.3325692756,-4.14507257129,-3.48
1970--6--9.29166666667,-14.6900354487,66.3326177966,-3.99425111595,-3.33
1970--6--9.33333333333,-14.4838602917,66.3326671893,-3.97346198339,-3.21
1970--6--9.375,-14.2812252602,66.3327171639,-3.95131826542,-3.09
1970--6--9.41666666667,-14.0813660651,66.3327678786,-3.92714526448,-3.0
