time,lower,upper,prediction,ground_truth
1970--6--11.5416666667,6.52942622443,66.3320717164,-6.16872991704,-1.23
1970--6--11.5833333333,6.50189664512,66.3319797839,-6.09417518386,-1.29
1970--6--11.625,6.47571260047,66.3318926309,-6.05894892857,-1.32
1970--6--11.6666666667,6.4507544763,66.3318098132,-5.98514846468,-1.41
1970--6--11.7083333333,6.4271592368,66.3317317559,-5.95260639912,-1.47
1970--6--11.75,6.40415854064,66.3316558719,-5.92082122012,-1.53
1970--6--11.7916666667,6.38174453555,66.3315821193,-5.8900526604,-1.56
1970--6--11.8333333333,6.36030953082,66.3315117726,-5.33218369131,-1.62
1970--6--11.875,6.33959667867,66.3314439661,-5.30374584237,-1.65
1970--6--11.9166666667,6.31967641926,66.3313789108,-2.74695526632,-1.71
1970--6--11.9583333333,6.30030318513,66.3313157881,-2.7373626334,-1.71
1970--6--12,6.28192887011,66.331256055,-2.72733216069,-1.65
1970--6--12.0416666667,6.26426887781,66.3311987601,-2.68506061399,-1.62
1970--6--12.0833333333,6.24607343936,66.331139832,-2.67442409976,-1.56
1970--6--12.125,6.22741652036,66.3310795175,-2.66306796932,-1.5
1970--6--12.1666666667,6.20798343477,66.3310168062,-2.65131212787,-1.41
1970--6--12.2083333333,6.18815060004,66.3309529262,-2.60981021571,-1.38
1970--6--12.25,6.16741775614,66.3308862765,-2.59777854594,-1.32
1970--6--12.2916666667,6.14502816192,66.3308144346,-2.5850572462,-1.26
1970--6--12.3333333333,6.12175671618,66.3307399254,-2.57196309737,-1.23
1970--6--12.375,6.09554980815,66.3306561815,-2.49578308006,-1.23
1970--6--12.4166666667,6.06299144797,66.3305523212,-2.48390030585,-1.26
1970--6--12.4583333333,5.99916284413,66.3303483402,-2.47283860497,-1.26
1970--6--12.5,5.20411671671,66.3274932303,-2.46168359808,-1.29
1970--6--12.5416666667,1.61070372461,66.3086681029,-2.42677135401,-1.32
1970--6--12.5833333333,-5.14130801272,66.2872835979,-2.4170340158,-1.35
1970--6--12.625,-83.99,66.1997553122,-2.40775730835,-1.44
1970--6--12.6666666667,26.2311693976,65.3495485059,-2.40005393987,-1.53
1970--6--12.7083333333,44.8124021876,62.1412122916,-2.36953990148,-1.62
1970--6--12.75,54.1413278318,56.4955693991,-2.24356908419,-1.74
1970--6--12.7916666667,58.3336624748,50.3888097426,-2.23988362159,-1.8
1970--6--12.8333333333,59.9843004188,45.9119396593,-2.23625574187,-1.89
1970--6--12.875,60.6967556761,42.9876643102,-2.20750268642,-1.95
1970--6--12.9166666667,61.2363635414,40.089453347,-2.20565633272,-2.04
1970--6--12.9583333333,61.8097870123,36.0548488891,-2.20496822575,-2.01
1970--6--13,62.3709107031,30.1361838377,-2.20289631237,-1.95
1970--6--13.0416666667,62.7934377657,21.9424299507,-2.17544330154,-2.04
1970--6--13.0833333333,63.0103868965,12.3041661628,-2.17504172928,-1.98
1970--6--13.125,63.0844711695,3.96651054252,69.479681821,-1.92
1970--6--13.1666666667,63.0991066275,0.621665579928,70.1332152931,-1.86
1970--6--13.2083333333,63.0997868283,0.359853313606,-2.14371945104,-1.8
1970--6--13.25,63.0998008765,0.380001036423,-2.14009523959,-1.74
1970--6--13.2916666667,63.0999193236,0.401544486359,-2.13598641465,-1.65
1970--6--13.3333333333,63.1000822984,0.419846293518,-2.13085524408,-1.56
1970--6--13.375,63.1002606002,0.437074961206,-2.10368948119,-1.5
1970--6--13.4166666667,63.1004474438,0.453561085231,-2.63528712427,-1.62
1970--6--13.4583333333,63.1006400919,0.467869435264,-2.71902286187,-1.62
1970--6--13.5,63.1008367721,0.481319337039,-2.71253121549,-1.65
1970--6--13.5416666667,63.1010372646,0.493657400121,-2.69566202145,-1.65
1970--6--13.5833333333,63.1012409292,0.505225158946,-2.68953961412,-1.68
