time,lower,upper,prediction,ground_truth
1970--4--20.4583333333,0.780965286217,5.79300462429,3.77573794686,7.11
1970--4--20.5,0.736332740407,5.84751343675,3.8064353799,7.29
1970--4--20.5416666667,0.685974690079,5.90585051925,3.82019267301,7.5
1970--4--20.5833333333,0.628306669542,5.96861520711,3.83494292815,7.65
1970--4--20.625,0.565934743169,6.03405130375,3.85000931363,7.77
1970--4--20.6666666667,0.500260120598,6.10094284059,3.86538472311,7.86
1970--4--20.7083333333,0.432774066865,6.16806671917,0.644085996406,7.98
1970--4--20.75,0.362042772399,6.23623043698,0.639641073842,8.04
1970--4--20.7916666667,0.290785445231,6.30433464012,6.41217822371,8.13
1970--4--20.8333333333,0.217412148825,6.37354584821,6.65632609976,8.22
1970--4--20.875,0.141903507957,6.44383042966,6.73824153073,8.34
1970--4--20.9166666667,0.0626853489433,6.51601236939,6.82009114596,8.58
1970--4--20.9583333333,-0.0273496399577,6.59517957007,8.3718126663,8.79
1970--4--21,-0.126919437141,6.68008300814,8.47867169503,8.91
1970--4--21.0416666667,-0.230488519195,6.76678106844,8.62887799491,9.3
1970--4--21.0833333333,-0.356978692875,6.86660496139,8.78556349617,9.54
1970--4--21.125,-0.496832142924,6.97299062806,8.91495157887,9.72
1970--4--21.1666666667,-0.645759155229,7.08289667602,9.0292147527,9.93
1970--4--21.2083333333,-0.806741972963,7.1976675011,9.24331004446,9.99
1970--4--21.25,-0.966897725736,7.30952732357,9.32710751291,10.08
1970--4--21.2916666667,-1.12923179812,7.42041529521,9.40682989105,10.17
1970--4--21.3333333333,-1.29398104421,7.53041973762,9.48086118869,10.05
1970--4--21.375,-1.44325234473,7.63055927846,9.60773666594,9.93
1970--4--21.4166666667,-1.57853371258,7.72224047209,9.6233291966,9.84
1970--4--21.4583333333,-1.70320404695,7.80725177875,9.63237117767,9.78
1970--4--21.5,-1.8201854969,7.88729877172,9.63821269928,9.57
1970--4--21.5416666667,-1.92009256427,7.95795201289,9.68623703707,9.3
1970--4--21.5833333333,-2.00146383308,8.01849536004,9.64606551606,9.06
1970--4--21.625,-2.06835312687,8.07077027862,9.59908460257,8.79
1970--4--21.6666666667,-2.12138735657,8.11520057672,9.54187154576,8.55
1970--4--21.7083333333,-2.16374625145,8.15337602656,9.51753284416,8.25
1970--4--21.75,-2.19508843396,8.18450950606,9.44078897934,7.98
1970--4--21.7916666667,-2.21821098523,8.20996811901,7.98,7.74
1970--4--21.8333333333,-2.23470534457,8.23332692169,7.74,7.5
1970--4--21.875,-2.24592001693,8.25315464405,9.2103693741,7.29
1970--4--21.9166666667,-2.25310859718,8.27042819287,9.1231947843,7.05
1970--4--21.9583333333,-2.25673270218,8.28483846197,9.03346868149,6.84
1970--4--22,-2.2578420169,8.29703653084,8.94461400872,6.81
1970--4--22.0416666667,-2.25873871301,8.30866047702,7.0538168909,6.45
1970--4--22.0833333333,-2.25696158211,8.31702401082,6.92025505516,6.3
1970--4--22.125,-2.25410081824,8.32446351341,6.72688212761,6.12
1970--4--22.1666666667,-2.2505610666,8.33064840579,6.63172643808,5.94
1970--4--22.2083333333,-2.24688112954,8.3355481263,6.53850684566,5.82
1970--4--22.25,-2.2429522253,8.33985351963,6.45789272983,5.67
1970--4--22.2916666667,-2.23924779259,8.34326466077,6.2797128885,5.52
1970--4--22.3333333333,-2.23595551521,8.34585756194,6.20046137801,5.4
1970--4--22.375,-2.2330663633,8.34787499199,6.12709665084,5.25
1970--4--22.4166666667,-2.23089601637,8.34920024001,6.05191139399,5.16
1970--4--22.4583333333,-2.228846051,8.35032708771,5.89783814559,5.01
1970--4--22.5,-2.22746323654,8.3509880605,5.82736312597,4.89
