time,lower,upper,prediction,ground_truth
1970--4--14.2083333333,-2.01413393291,5.32840358086,5.02552902259,5.1
1970--4--14.25,-2.01737855732,5.355838272,5.02829821872,5.07
1970--4--14.2916666667,-2.02278562755,5.38139514156,5.02850928883,5.04
1970--4--14.3333333333,-2.02745612098,5.40604243102,5.02817731189,5.01
1970--4--14.375,-2.03144056812,5.42980950261,5.02733256356,4.98
1970--4--14.4166666667,-2.03478713565,5.45272406514,5.02600314211,4.92
1970--4--14.4583333333,-2.0371291857,5.47434455057,5.02320818933,4.86
1970--4--14.5,-2.03856736163,5.49472579485,5.01952652547,4.8
1970--4--14.5416666667,-2.0391967987,5.51391916277,5.01500706972,4.74
1970--4--14.5833333333,-2.03884895159,5.53208960099,5.00969533089,4.65
1970--4--14.625,-2.0378386177,5.54864553537,5.00271650816,4.56
1970--4--14.6666666667,-2.03580630951,5.56390313148,4.99461775539,4.47
1970--4--14.7083333333,-2.03314537083,5.57781541554,4.98546069643,4.35
1970--4--14.75,-2.03006444481,5.58998344553,4.97445347358,4.26
1970--4--14.7916666667,-2.02640192868,5.60108171223,4.96294951592,4.17
1970--4--14.8333333333,-2.02251563834,5.61104374212,4.95056307078,4.08
1970--4--14.875,-2.01802846695,5.62017761017,4.93734026673,4.02
1970--4--14.9166666667,-2.01308047206,5.62881145684,4.92409779776,3.93
1970--4--14.9583333333,-2.0079416108,5.63657770639,4.90969379054,3.93
1970--4--15,-2.00273511542,5.64430797663,4.89679537735,3.96
1970--4--15.0416666667,-1.99774131123,5.65215197062,4.8849724871,3.69
1970--4--15.0833333333,-1.99225234346,5.6579387475,4.86659668708,3.63
1970--4--15.125,-1.98628929735,5.66346938998,4.88239863172,3.57
1970--4--15.1666666667,-1.97986433174,5.66874931046,4.89538256304,3.51
1970--4--15.2083333333,-1.97298933156,5.67378375537,4.90520407609,3.45
1970--4--15.25,-1.96567591486,5.6785778121,4.91116928924,3.42
1970--4--15.2916666667,-1.95781408979,5.68332838967,4.9151863422,3.36
1970--4--15.3333333333,-1.94918895723,5.68791569596,4.91619106787,3.33
1970--4--15.375,-1.93998887251,5.69244232987,4.89645516481,3.3
1970--4--15.4166666667,-1.93020211254,5.69690062104,4.87686677646,3.24
1970--4--15.4583333333,-1.91961290058,5.70116831801,4.85676969652,3.21
1970--4--15.5,-1.90803729449,5.70540067526,4.83714787416,3.18
1970--4--15.5416666667,-1.89544353463,5.70957721816,4.81766610217,3.12
1970--4--15.5833333333,-1.88158493199,5.71355418667,4.79769744752,3.09
1970--4--15.625,-1.8666456662,5.71743287413,4.77818211649,3.0
1970--4--15.6666666667,-1.85102187741,5.72090879188,4.7575952777,2.94
1970--4--15.7083333333,-1.83450818525,5.7241241025,4.73717023926,2.91
1970--4--15.75,-1.81641121908,5.72720203718,4.71718955908,2.85
1970--4--15.7916666667,-1.79693197875,5.72998634313,4.69677461826,2.82
1970--4--15.8333333333,-1.77626304577,5.73258584926,4.67679239401,2.76
1970--4--15.875,-1.75416739624,5.7348516568,4.65638969658,2.73
1970--4--15.9166666667,-1.73035073235,5.73687000262,4.63640856506,2.67
1970--4--15.9583333333,-1.70556136886,5.73854229042,4.61602006042,2.64
1970--4--16,-1.68001441824,5.73999653873,2.99675316604,2.64
1970--4--16.0416666667,-1.65442750773,5.74140010798,2.99609100489,2.55
1970--4--16.0833333333,-1.62714482409,5.74226703194,2.99510619817,2.49
1970--4--16.125,-1.59889058091,5.74276460653,2.99407275588,2.46
1970--4--16.1666666667,-1.56987010882,5.74301883127,3.00198830905,2.43
1970--4--16.2083333333,-1.5406098551,5.74308145835,3.0008882224,2.43
1970--4--16.25,-1.50971835062,5.7429018854,4.47683063584,2.4
