time,lower,upper,prediction,ground_truth
1970--4--24.625,-2.61395863823,8.34848972144,2.91051462323,1.59
1970--4--24.6666666667,-2.62659868462,8.34890068955,2.81908978766,1.53
1970--4--24.7083333333,-2.6398900053,8.34935666788,2.79590280169,1.47
1970--4--24.75,-2.65324434421,8.34984750796,2.77256483476,1.44
1970--4--24.7916666667,-2.66722726832,8.35036609494,2.70587676676,1.41
1970--4--24.8333333333,-2.68124681216,8.35090026569,2.6838822739,1.38
1970--4--24.875,-2.69530251296,8.35144980621,2.66215368443,1.41
1970--4--24.9166666667,-2.70934049441,8.35197555573,2.64246768501,1.38
1970--4--24.9583333333,-2.72401160655,8.35252949316,2.58005817881,1.35
1970--4--25,-2.73991380514,8.35312342943,2.56014919213,1.23
1970--4--25.0416666667,-2.7589338106,8.35386046418,2.53783313677,1.23
1970--4--25.0833333333,-2.77498004573,8.35452933762,2.51790263912,1.2
1970--4--25.125,-2.79106653571,8.35521394285,2.45831472737,1.17
1970--4--25.1666666667,-2.80840134262,8.35594413124,2.4385602382,1.14
1970--4--25.2083333333,-2.82698696162,8.35671835167,2.41898005123,1.17
1970--4--25.25,-2.84555748373,8.35746123735,2.40118802332,1.17
1970--4--25.2916666667,-2.86354283872,8.35818512678,1.49129461822,1.14
1970--4--25.3333333333,-2.8827822373,8.35895032123,1.477959358,1.14
1970--4--25.375,-2.90264200825,8.35971864282,1.46652312099,1.17
1970--4--25.4166666667,-2.92188509441,8.36044350365,1.44572097702,1.17
1970--4--25.4583333333,-2.94114677535,8.36116098114,1.43667073425,1.14
1970--4--25.5,-2.96166690733,8.36191506237,1.42632042544,1.14
1970--4--25.5416666667,-2.98280938695,8.36266847246,1.41751519146,1.17
1970--4--25.5833333333,-3.0027337277,8.36337113453,1.39855806285,1.17
1970--4--25.625,-3.02328050101,8.36407318373,1.67929353335,1.14
1970--4--25.6666666667,-3.04509057728,8.36480698253,1.66888996847,1.14
1970--4--25.7083333333,-3.06692501562,8.36553155911,1.6378615899,1.17
1970--4--25.75,-3.08814191392,8.36621340553,1.62994944484,1.17
1970--4--25.7916666667,-3.10998346797,8.36689074429,1.62180142579,1.05
1970--4--25.8333333333,-3.13502869986,8.3676978356,1.60989340408,1.05
1970--4--25.875,-3.15950544864,8.36849050559,1.5800281108,1.08
1970--4--25.9166666667,-3.18094170708,8.36921843101,1.57199680031,1.08
1970--4--25.9583333333,-3.20301166585,8.36994381675,1.5637471706,1.08
1970--4--26,-3.22510758432,8.3706601845,1.55576971479,1.08
1970--4--26.0416666667,-3.24783864257,8.37137207522,1.52945948652,1.11
1970--4--26.0833333333,-3.26872648664,8.37203225136,1.52310864301,1.11
1970--4--26.0833333333,-3.28840913547,8.37267158764,1.51649323851,1.14
1970--4--26.1666666667,-3.30807806798,8.37327899536,1.51101187695,1.14
1970--4--26.2083333333,-3.32960766827,8.3738931011,1.48841030149,1.14
1970--4--26.25,-3.35177297696,8.37450120324,1.48298834889,1.17
1970--4--26.2916666667,-3.37513615029,8.37507054339,1.47863563226,1.2
1970--4--26.3333333333,-3.3996856071,8.37559104794,1.47486261368,1.2
1970--4--26.375,-3.42486736866,8.37609505602,1.45565994055,1.2
1970--4--26.4166666667,-3.4518735603,8.37656343557,1.45184223766,1.23
1970--4--26.4583333333,-3.47885763841,8.37698049638,1.4490085003,1.23
1970--4--26.5,-3.50588054774,8.37738451878,1.44582769455,1.26
1970--4--26.5416666667,-3.53228686105,8.37774919531,1.43017785305,1.26
1970--4--26.5833333333,-3.55873058841,8.37810151618,1.42773530285,1.29
1970--4--26.625,-3.58455518714,8.37841645701,1.42620418276,1.29
1970--4--26.6666666667,-3.61101100783,8.37870655347,1.4243006512,1.23
