time,lower,upper,prediction,ground_truth
1970--6--5.29166666667,3.537087568,74.0871328487,26.4848696085,-20.88
1970--6--5.33333333333,3.51154644865,74.0871063012,26.1109893006,-25.71
1970--6--5.375,3.483326146,74.0870770551,60.7594235165,-30.6
1970--6--5.41666666667,3.45288710273,74.0870456089,60.339356606,-33.51
1970--6--5.45833333333,3.42044957285,74.0870122101,59.9333777263,-36.54
1970--6--5.5,3.38609205908,74.0869769602,59.5406026766,-39.63
1970--6--5.54166666667,3.35114746634,74.0869412454,59.1602325354,-40.83
1970--6--5.58333333333,3.31521619711,74.0869046645,58.7915382625,-42.3
1970--6--5.625,3.27870164358,74.0868676387,58.4338508964,-43.92
1970--6--5.66666666667,3.24188448062,74.0868304586,52.9223423772,-44.76
1970--6--5.70833333333,3.20064199311,74.0867889734,52.7044661491,-44.76
1970--6--5.75,3.14983317345,74.0867380804,52.4906499921,-44.97
1970--6--5.79166666667,3.06530245061,74.0866537671,29.0554831993,-44.85
1970--6--5.83333333333,-0.351966162749,74.0829286219,28.8059214314,-44.49
1970--6--5.875,-9.30804564385,74.0776109593,28.5627597575,-44.13
1970--6--5.91666666667,-83.99,74.0758584923,28.325690713,-43.53
1970--6--5.95833333333,19.1470673433,73.6936756496,28.0944287789,-43.38
1970--6--6,40.6336743173,72.1739526134,27.8687063191,-42.78
1970--6--6.04166666667,45.2609036684,71.1480985861,27.6482758493,-42.33
1970--6--6.08333333333,51.6661875815,69.127844975,27.4329039668,-41.82
1970--6--6.125,55.0260737866,67.3766651222,27.2223731794,-41.49
1970--6--6.16666666667,55.7595881768,66.7281419551,27.0164786484,-41.01
1970--6--6.20833333333,55.8153468021,66.5444045707,27.0134267914,-40.53
1970--6--6.25,55.7951517689,66.4453581129,26.8119839768,-39.3
1970--6--6.29166666667,55.7583491835,66.3764496802,26.6148095108,-37.68
1970--6--6.33333333333,55.7160785937,66.3428153534,26.421736216,-36.06
1970--6--6.375,55.6923435564,66.3336594916,26.2326059975,-34.56
1970--6--6.41666666667,55.6847001528,66.3315368146,26.0472697578,-33.18
1970--6--6.45833333333,55.6830585392,66.3311274762,25.8655870593,-31.8
1970--6--6.5,55.6827734161,66.3310580456,29.4474348032,-30.6
1970--6--6.54166666667,55.6826995453,66.3310401228,29.1844369104,-29.46
1970--6--6.58333333333,55.6826715326,66.3310333315,28.6894512683,-28.35
1970--6--6.625,55.6826614491,66.3310308876,28.4466732547,-27.39
1970--6--6.66666666667,55.6826614491,66.3310308876,28.2100049817,-26.52
1970--6--6.70833333333,55.6826649366,66.3310317327,27.9791626573,-25.77
1970--6--6.75,55.6826684318,66.3310325797,27.7538778905,-24.9
1970--6--6.79166666667,55.6826726596,66.3310336043,27.5339183133,-24.12
1970--6--6.83333333333,55.6826784393,66.3310350049,27.3190450453,-23.34
1970--6--6.875,55.6826868258,66.3310370373,27.1090484451,-22.5
1970--6--6.91666666667,55.6826980536,66.3310397583,26.903736924,-21.84
1970--6--6.95833333333,55.6827111817,66.3310429398,26.8941188041,-21.06
1970--6--7,55.6827263018,66.3310466042,26.6933666705,-20.22
1970--6--7.04166666667,55.6827437753,66.3310508392,26.4969504617,-19.56
1970--6--7.08333333333,55.6827633129,66.3310555745,26.3046726349,-18.81
1970--6--7.125,55.6827854604,66.3310609426,26.1164120567,-18.09
1970--6--7.16666666667,55.6828104072,66.3310669895,25.9320129109,-17.34
1970--6--7.20833333333,55.6828386083,66.3310738256,72.2769587125,-16.62
1970--6--7.25,55.6828702918,66.3310815063,25.5742970129,-15.93
1970--6--7.29166666667,55.6829056747,66.3310900843,25.4007234141,-15.27
1970--6--7.33333333333,55.6829449593,66.3310996088,25.2305163161,-14.64
