time,lower,upper,prediction,ground_truth
1970--4--10.0416666667,-12.8446944038,3.50569914297,0.403084806452,0.42
1970--4--10.0833333333,-12.3512718,3.49618490829,0.391174135802,0.45
1970--4--10.125,-11.8821193039,3.48581963299,0.391529440328,0.51
1970--4--10.1666666667,-11.4341794461,3.47476100368,0.385639812746,0.51
1970--4--10.2083333333,-11.0053649197,3.462576768,0.386138881373,0.57
1970--4--10.25,-10.5933084149,3.4496186128,0.387118761431,0.57
1970--4--10.2916666667,-10.1965463983,3.43544335813,0.387849372756,0.63
1970--4--10.3333333333,-9.81343318049,3.4204188698,0.382326307984,0.63
1970--4--10.375,-9.44331752305,3.40414353903,0.383319522038,0.69
1970--4--10.4166666667,-9.08499696457,3.38700551255,0.384792709167,0.72
1970--4--10.4583333333,-8.73801529491,3.36882094151,0.386255369829,0.75
1970--4--10.5,-8.4021741553,3.34965928752,1.17032537719,0.78
1970--4--10.5416666667,-8.0779920761,3.32970621399,1.16735860656,0.81
1970--4--10.5833333333,-7.76339952689,3.30875520057,1.16468060274,0.84
1970--4--10.625,-7.45779752639,3.28679332134,1.16228528337,0.87
1970--4--10.6666666667,-7.16166636122,3.26399037556,1.16016674184,0.93
1970--4--10.7083333333,-6.87658051887,3.24097999199,1.15879342913,0.93
1970--4--10.75,-6.60354289594,3.21764828406,1.15697243534,0.99
1970--4--10.7916666667,-6.34342811775,3.19483116492,1.15611862183,1.02
1970--4--10.8333333333,-6.09838649334,3.17296195477,1.1552807206,1.08
1970--4--10.875,-5.87361347499,3.15366167883,1.15515724098,1.11
1970--4--10.9166666667,-5.65572352713,3.13412193655,0.480965049122,1.17
1970--4--10.9583333333,-5.44671780561,3.11513605971,0.483598588426,1.23
1970--4--11,-5.24503272136,3.09648515398,0.486433967774,1.26
1970--4--11.0416666667,-5.05384014481,3.07878801758,0.489250591084,1.23
1970--4--11.0833333333,-4.864684791,3.05963391571,0.48890932651,1.2
1970--4--11.125,-4.68228646002,3.04021452472,0.491279468609,1.2
1970--4--11.1666666667,-4.50503863799,3.02046556761,0.493741925106,1.32
1970--4--11.2083333333,-4.33336934751,3.00159189285,0.497058797471,1.41
1970--4--11.25,-4.16829895502,2.98372288644,0.497731713587,1.53
1970--4--11.2916666667,-4.01007516437,2.96732842598,0.501821345698,1.41
1970--4--11.3333333333,-3.85992933866,2.95070104401,0.504548335636,1.59
1970--4--11.375,-3.71815756387,2.93678395161,0.509032782122,1.62
1970--4--11.4166666667,-3.58315611451,2.9238820332,0.509793156006,1.65
1970--4--11.4583333333,-3.45563877371,2.91231122241,0.511020940395,1.65
1970--4--11.5,-3.33180791075,2.90076360667,0.51503965311,1.68
1970--4--11.5416666667,-3.21065572812,2.88926881528,0.519255527529,1.68
1970--4--11.5833333333,-3.09323342416,2.87789662803,0.520344038285,1.68
1970--4--11.625,-2.98191333852,2.867441717,0.524427199728,1.71
1970--4--11.6666666667,-2.87810488526,2.85871986091,0.528706917549,1.71
1970--4--11.7083333333,-2.77887369221,2.85061078941,0.532844337804,1.74
1970--4--11.75,-2.68437924312,2.8435159144,1.937189506,1.74
1970--4--11.7916666667,-2.59398319826,2.8369957933,1.93696719062,1.74
1970--4--11.8333333333,-2.50712247417,2.83091877784,1.93674537599,1.74
1970--4--11.875,-2.4238401218,2.82533961545,0.421962319152,1.74
1970--4--11.9166666667,-2.3435527444,2.82011000343,0.422206475044,1.8
1970--4--11.9583333333,-2.2664622086,2.81592133865,0.427581570095,1.83
1970--4--12,-2.19251303618,2.81249514623,1.93782307008,1.86
1970--4--12.0416666667,-2.12551795834,2.81109104272,1.9377688812,2.1
1970--4--12.0833333333,-2.05775216139,2.81152456346,1.94054056001,2.31
