time,lower,upper,prediction,ground_truth
1970--6--3.20833333333,43.9301749936,70.6441544256,0.193071479601,4.62
1970--6--3.25,43.9308572119,70.6442078635,0.516939567932,4.68
1970--6--3.29166666667,43.9315502853,70.6442621555,0.666626759221,4.65
1970--6--3.33333333333,43.9322378811,70.6443160173,3.22067516976,4.65
1970--6--3.375,43.9329254495,70.6443698776,-2.82157514245,4.53
1970--6--3.41666666667,43.9335913733,70.6444220368,3.35403915527,4.44
1970--6--3.45833333333,43.9342412471,70.644472935,3.4017745376,4.65
1970--6--3.5,43.9349287357,70.6445267905,3.47016167842,4.74
1970--6--3.54166666667,43.9356325978,70.6445819342,3.53112981965,5.25
1970--6--3.58333333333,43.9364325126,70.644644636,3.63044415798,4.98
1970--6--3.625,43.9371808524,70.6447032795,3.67411898646,4.74
1970--6--3.66666666667,43.9378846228,70.6447584178,3.70584756255,4.44
1970--6--3.70833333333,43.9385343351,70.6448093065,3.72133426236,4.29
1970--6--3.75,43.9391576771,70.6448581233,3.73601176017,4.14
1970--6--3.79166666667,43.939745771,70.644904176,3.7445081315,3.93
1970--6--3.83333333333,43.9403137685,70.6449486432,3.74355522057,3.75
1970--6--3.875,43.9409474566,70.6449982203,4.44384191285,3.57
1970--6--3.91666666667,43.9416721523,70.6450548727,4.37232718506,3.42
1970--6--3.95833333333,43.9424796188,70.6451179522,4.30278523092,3.21
1970--6--4,43.9433456884,70.6451855655,4.22644671352,3.09
1970--6--4.04166666667,43.9442693932,70.645257643,4.1571757038,3.21
1970--6--4.08333333333,43.9452506937,70.6453342072,4.11310494248,3.33
1970--6--4.125,43.9462750865,70.6454141323,2.60424873164,3.51
1970--6--4.16666666667,43.9473637544,70.6454990702,0.0870703296105,3.63
1970--6--4.20833333333,43.9484955732,70.645587374,2.61554612116,3.81
1970--6--4.25,43.9496738016,70.6456793063,2.61708311942,4.14
1970--6--4.29166666667,43.9509223072,70.6457767451,2.62784695069,4.32
1970--6--4.33333333333,43.9522136615,70.6458775403,2.63000556457,4.83
1970--6--4.375,43.9535983259,70.645985673,2.6332519728,5.82
1970--6--4.41666666667,43.9551761525,70.6461090212,2.64703985741,9.57
1970--6--4.45833333333,43.9577062618,70.6463078369,2.66468351995,31.11
1970--6--4.5,43.9819144368,70.6484526307,11.0513605105,48.39
1970--6--4.54166666667,44.0740000956,70.661298243,30.816006635,49.47
1970--6--4.58333333333,44.1716981063,70.6756633325,34.2888573166,61.38
1970--6--4.625,44.305244159,70.7296599839,42.5975433573,79.32
1970--6--4.66666666667,43.0477977029,71.1759556869,55.6234644528,88.02
1970--6--4.70833333333,36.000548415,72.3292135673,63.8425744049,87.81
1970--6--4.75,21.5830120077,73.3150714862,66.9602794896,81.75
1970--6--4.79166666667,-5.68154308908,73.7523766916,67.3151450366,73.23
1970--6--4.83333333333,-83.99,73.9035732934,66.793737395,65.91
1970--6--4.875,3.41935445379,73.9658342129,66.2740348988,62.64
1970--6--4.91666666667,9.50966514572,74.0078805927,-5.57992035525,61.14
1970--6--4.95833333333,13.1517534649,74.0429235623,61.14,58.23
1970--6--5,15.6347259283,74.0678330865,26.9280214812,52.41
1970--6--5.04166666667,17.179621095,74.0807362689,27.7099549797,43.02
1970--6--5.08333333333,17.9101702915,74.0854314725,27.5515176109,30.93
1970--6--5.125,18.1589906757,74.0867656736,27.2629263811,18.18
1970--6--5.16666666667,18.2255728102,74.087097426,26.9311909004,5.73
1970--6--5.20833333333,18.238170677,74.0871588038,26.6919159779,-5.43
1970--6--5.25,18.237178656,74.0871539984,26.4882273048,-14.07
