time,lower,upper,prediction,ground_truth
1970--5--7.125,-3.49995476079,5.67059609915,3.24405656939,1.65
1970--5--7.16666666667,-3.50074180322,5.67046855728,3.23960478125,1.53
1970--5--7.20833333333,-3.50314946638,5.67011001102,3.23708521727,1.5
1970--5--7.25,-3.50557994335,5.66976316047,3.23464892028,1.47
1970--5--7.29166666667,-3.50842828508,5.66936494831,3.2321821613,1.35
1970--5--7.33333333333,-3.5125893149,5.66884401206,3.22946380736,1.35
1970--5--7.375,-3.51674958565,5.66832205447,3.22690051702,1.32
1970--5--7.41666666667,-3.52094578377,5.66781843648,3.22427113945,1.29
1970--5--7.45833333333,-3.52558029485,5.6672736733,3.22161267199,1.17
1970--5--7.5,-3.53160025369,5.66664406643,3.21870958519,1.14
1970--5--7.54166666667,-3.53807427682,5.66598097015,3.21588687541,1.02
1970--5--7.58333333333,-3.54639865048,5.66520597073,3.21282484178,0.99
1970--5--7.625,-3.55519155581,5.66440393054,3.20984211176,0.96
1970--5--7.66666666667,-3.56238785948,5.66384714571,3.20683263443,0.84
1970--5--7.70833333333,-3.57108002925,5.66326404537,3.2035901809,0.81
1970--5--7.75,-3.5798303492,5.66270993724,3.20042568897,0.78
1970--5--7.79166666667,-3.58732303157,5.66230909155,3.19723566094,0.69
1970--5--7.83333333333,-3.59585566282,5.66191353275,3.19388574819,0.66
1970--5--7.875,-3.60443988443,5.66154397112,3.1905786669,0.63
1970--5--7.91666666667,-3.61307509139,5.66120011547,3.18724702498,0.66
1970--5--7.95833333333,-3.62075260223,5.66089253276,3.18402371476,0.57
1970--5--8,-3.62948793823,5.66059957609,3.18057710422,0.57
1970--5--8.04166666667,-3.6377623334,5.66033363938,1.84963805654,0.54
1970--5--8.08333333333,-3.64608291257,5.66009119617,2.87046053409,0.54
1970--5--8.125,-3.65440367425,5.65984592707,2.87188858264,0.51
1970--5--8.16666666667,-3.66277010366,5.65962388696,2.86777031611,0.51
1970--5--8.20833333333,-3.67113680793,5.65939902645,2.84928726874,0.42
1970--5--8.25,-3.6805854443,5.6592008374,2.84497892682,0.42
1970--5--8.29166666667,-3.69003463884,5.65899913049,2.84081982284,0.39
1970--5--8.33333333333,-3.69953315646,5.65882214272,2.82380340056,0.39
1970--5--8.375,-3.70903234713,5.65864164462,2.81963132887,0.36
1970--5--8.41666666667,-3.71952946695,5.65843700008,2.81538489716,0.3
1970--5--8.45833333333,-3.73060917325,5.6582658404,2.79989867761,0.27
1970--5--8.5,-3.74222066715,5.65809793684,2.79554941859,0.24
1970--5--8.54166666667,-3.75292929034,5.65800150083,2.79117140324,0.27
1970--5--8.58333333333,-3.76262164467,5.65791150783,2.77831658919,0.15
1970--5--8.625,-3.77397143387,5.65787825625,2.77370232753,0.12
1970--5--8.66666666667,-3.78537364803,5.65787054941,1.26257812413,0.09
1970--5--8.70833333333,-3.79583344138,5.65791456335,1.24214947181,0.03
1970--5--8.75,-3.80738675816,5.65798669572,1.22100370026,1.42108547152e-14
1970--5--8.79166666667,-3.81898993965,5.65808311185,2.92316769961,-0.03
1970--5--8.83333333333,-3.8306423773,5.65820350393,2.90916185261,-0.06
1970--5--8.875,-3.8428498875,5.65833863324,2.90382014898,-0.06
1970--5--8.91666666667,-3.85301953458,5.65849665478,2.89854249183,-0.06
1970--5--8.95833333333,-3.86267506829,5.65865482703,2.89058283619,-0.09
1970--5--9,-3.87288717214,5.65882987367,2.88523558944,-0.09
1970--5--9.04166666667,-3.88310156812,5.65900143797,2.87995220058,-0.12
1970--5--9.08333333333,-3.89387478808,5.65919027396,2.87412546934,-0.12
1970--5--9.125,-3.90413157488,5.65937826087,2.86881414261,-0.15
1970--5--9.16666666667,-3.91494923496,5.65958425935,2.86343314946,-0.12
