time,lower,upper,prediction,ground_truth
1970--5--23.7916666667,-0.575524486466,-0.375850856183,-0.178706299243,-0.36
1970--5--23.8333333333,-0.574727231424,-0.374465034634,-0.179552418784,-0.36
1970--5--23.875,-0.57389590821,-0.373112781768,-0.17997252361,-0.36
1970--5--23.9166666667,-0.573030805163,-0.371793809804,-0.180390676778,-0.36
1970--5--23.9583333333,-0.572132174372,-0.370507867212,-0.180806891856,-0.36
1970--5--24,-0.571200232916,-0.369254737472,-0.181221182288,-0.36
1970--5--24.0416666667,-0.570235163911,-0.368034238027,-0.181633561394,-0.36
1970--5--24.0833333333,-0.569237117376,-0.366846219416,-0.182044042371,-0.36
1970--5--24.125,-0.568206210924,-0.365690564583,-0.182452638295,-0.36
1970--5--24.1666666667,-0.5671425303,-0.364567188342,-0.182859362121,-0.36
1970--5--24.2083333333,-0.566046129744,-0.363476037009,-0.183264226686,-0.36
1970--5--24.25,-0.56491703222,-0.362417088179,-0.183667244713,-0.36
1970--5--24.2916666667,-0.563755229478,-0.361390350658,-0.184068428804,-0.36
1970--5--24.3333333333,-0.562560681978,-0.360395864543,-0.18446779145,-0.36
1970--5--24.375,-0.56133331865,-0.359433701459,-0.184865345027,-0.36
1970--5--24.4166666667,-0.560073036516,-0.358503964942,-0.185261101802,-0.36
1970--5--24.4583333333,-0.558779700136,-0.357606790987,-0.185655073929,-0.33
1970--5--24.5,-0.5577838172,-0.356106527617,-0.185913445296,-0.33
1970--5--24.5416666667,-0.556744292321,-0.354649255576,-0.186237416835,-0.33
1970--5--24.5833333333,-0.555661431792,-0.353234669404,-0.186559934734,-0.33
1970--5--24.625,-0.554535484866,-0.35186252068,-0.186881008752,-0.33
1970--5--24.6666666667,-0.553366645271,-0.350532616511,-0.187200648566,-0.33
1970--5--24.7083333333,-0.552155052363,-0.34924481837,-0.187518863764,-0.33
1970--5--24.75,-0.551501847172,-0.347717206738,-0.187835663849,-0.33
1970--5--24.7916666667,-0.550814066073,-0.346223669156,-0.18815105824,-0.33
1970--5--24.8333333333,-0.550092138389,-0.344763776856,-0.188465056272,-0.33
1970--5--24.875,-0.549336453545,-0.343337140976,-0.188777667199,-0.33
1970--5--24.9166666667,-0.54854736304,-0.341943410576,-0.189088900191,-0.33
1970--5--24.9583333333,-0.547725182201,-0.340582270888,-0.18939876434,-0.33
1970--5--25,-0.546870191705,-0.339253441794,-0.189707268657,-0.33
1970--5--25.0416666667,-0.545982638913,-0.337956676491,-0.190014422074,-0.33
1970--5--25.0833333333,-0.545062739021,-0.336691760342,-0.190320233444,-0.33
1970--5--25.125,-0.544110676033,-0.335458509902,-0.190624711544,-0.33
1970--5--25.1666666667,-0.543126603587,-0.33425677209,-0.190927865076,-0.33
1970--5--25.2083333333,-0.542110645624,-0.333086423523,-0.191229702663,-0.33
1970--5--25.25,-0.541062896919,-0.331947369982,-0.191530232855,-0.33
1970--5--25.2916666667,-0.539983423475,-0.330839546024,-0.19182946413,-0.33
1970--5--25.3333333333,-0.53887226278,-0.329762914716,-0.19212740489,-0.33
1970--5--25.375,-0.537729423943,-0.328717467505,-0.192424063466,-0.33
1970--5--25.4166666667,-0.536554887696,-0.327703224218,-0.192719448118,-0.33
1970--5--25.4583333333,-0.535348606265,-0.326720233183,-0.193013567032,-0.33
1970--5--25.5,-0.534110503122,-0.325768571486,-0.193306428329,-0.33
1970--5--25.5416666667,-0.53284047259,-0.324848345357,-0.193598040058,-0.33
1970--5--25.5833333333,-0.531538379325,-0.323959690697,-0.193888410198,-0.33
1970--5--25.625,-0.530204057647,-0.323102773742,-0.194177546662,-0.33
1970--5--25.6666666667,-0.528837310722,-0.32227779188,-0.194465457297,-0.33
1970--5--25.7083333333,-0.527437909588,-0.321484974626,-0.194752149881,-0.33
1970--5--25.75,-0.526005592013,-0.320724584769,-0.195037632129,-0.33
1970--5--25.7916666667,-0.524540061157,-0.319996919701,-0.195321911688,-0.33
1970--5--25.8333333333,-0.523633257892,-0.319029152804,-0.195604996144,-0.33
