time,lower,upper,prediction,ground_truth
1970--6--9.45833333333,-19.8523718469,66.3328190856,-3.88138308379,-2.88
1970--6--9.5,-19.3926452529,66.3328715346,-3.83309315849,-2.79
1970--6--9.54166666667,-18.9663353827,66.3329235728,-3.8061494656,-2.67
1970--6--9.58333333333,-18.5657810147,66.3329756307,-3.77672514166,-2.58
1970--6--9.625,-18.1903706591,66.3330273592,-3.70602115281,-2.7
1970--6--9.66666666667,-17.8486776882,66.3330770355,-5.36081047759,-2.76
1970--6--9.70833333333,-17.5334466243,66.3331251621,-5.21891200597,-2.79
1970--6--9.75,-17.2410129867,66.3331718661,-5.16431386003,-2.85
1970--6--9.79166666667,-16.9707900492,66.3332168531,-5.11445833935,-2.91
1970--6--9.83333333333,-16.7191080372,66.3332603918,-5.06824832088,-2.91
1970--6--9.875,-16.4895206907,66.3333015386,-4.94430393651,-2.91
1970--6--9.91666666667,-16.2820972466,66.3333399243,-4.90157459109,-2.94
1970--6--9.95833333333,-16.097941709,66.333374995,-4.86199873504,-2.91
1970--6--10,-15.9341843174,66.3334069857,-4.82198968455,-2.82
1970--6--10.0416666667,-15.7887774611,66.3334360428,69.479681821,-2.82
1970--6--10.0833333333,-15.671156141,66.3334600066,-4.66936760511,-2.79
1970--6--10.125,-15.5725204073,66.3334804237,-4.63232974318,-2.4
1970--6--10.1666666667,-15.478550726,66.3335001561,-4.58045122358,-2.07
1970--6--10.2083333333,-15.3906232762,66.3335188714,-4.45461203843,-1.47
1970--6--10.25,-15.2981976325,66.3335388138,-4.38100028569,-1.35
1970--6--10.2916666667,-15.2332926427,66.333552985,-4.31825226671,-1.26
1970--6--10.3333333333,-15.1922014988,66.3335620295,-3.93432713553,-1.2
1970--6--10.375,-15.1783101928,66.3335651007,-4.09341337311,-1.14
1970--6--10.4166666667,-15.1955718218,66.3335612831,-4.06433213462,-1.08
1970--6--10.4583333333,-15.2430052959,66.3335508352,-4.03513019799,-1.02
1970--6--10.5,-15.3064520606,66.3335369662,-4.04267606953,-1.2
1970--6--10.5416666667,-15.3995504148,66.3335168385,-3.98555935839,-1.23
1970--6--10.5833333333,-15.5123839024,66.3334927962,-3.96013868716,-1.26
1970--6--10.625,-15.639210961,66.3334662299,-3.93551657637,-1.32
1970--6--10.6666666667,-15.7805053997,66.3334371962,-4.13659186309,-1.41
1970--6--10.7083333333,-15.934766653,66.3334061663,-4.07979404797,-1.47
1970--6--10.75,-16.1054621855,66.3333726246,-4.05570527424,-1.53
1970--6--10.7916666667,-16.2918020961,66.3333369417,-4.07090681648,-1.62
1970--6--10.8333333333,-16.5077161246,66.3332967788,-4.04904846719,-1.71
1970--6--10.875,-16.7541332944,66.3332524535,-3.99815816258,-1.74
1970--6--10.9166666667,-17.0341621418,66.3332039733,-3.97785623309,-1.74
1970--6--10.9583333333,-17.3850506819,66.3331459376,-3.95761357598,-1.71
1970--6--11,-17.7847729948,66.3330833681,-4.24791603093,-1.68
1970--6--11.0416666667,-18.2426339042,66.3330160974,-4.19337892349,-1.8
1970--6--11.0833333333,-18.7734075733,66.3329436578,-4.17175935775,-1.68
1970--6--11.125,-19.3676209303,66.3328691343,-4.14659272915,-1.62
1970--6--11.1666666667,-20.0505579023,66.3327913912,-6.42623386227,-1.53
1970--6--11.2083333333,-20.8452408221,66.3327106148,-6.44010365304,-1.44
1970--6--11.25,-21.7626329183,66.3326289835,-6.45124409468,-1.35
1970--6--11.2916666667,-22.8402297629,66.3325470558,-6.45029522244,-1.26
1970--6--11.3333333333,-24.1199472224,66.3324665332,-6.36824004775,-1.2
1970--6--11.375,-25.7297594032,66.3323865747,-6.32698165964,-1.17
1970--6--11.4166666667,-27.8647993633,66.3323091384,-6.2863925794,-1.2
1970--6--11.4583333333,-31.2421326228,66.3322330735,-6.24739157083,-1.17
1970--6--11.5,-83.99,66.3321533898,-6.16842223263,-1.2
