time,lower,upper,prediction,ground_truth
1970--6--28.2083333333,-6.32089653603,7.84807933884,-0.402069354078,4.8
1970--6--28.25,-6.26398765358,7.86868237844,-0.389312560724,4.65
1970--6--28.2916666667,-6.20672660338,7.88787321881,-0.383440274664,4.44
1970--6--28.3333333333,-6.14887706386,7.90531705048,-0.378002134364,4.26
1970--6--28.375,-6.09086213389,7.92134686476,-0.372800404985,4.14
1970--6--28.4166666667,-6.03287467702,7.93644221088,-0.367696997063,4.08
1970--6--28.4583333333,-5.97491068493,7.95102451543,-0.362603930089,4.11
1970--6--28.5,-5.91678803685,7.96567299538,-0.357344557187,4.38
1970--6--28.5416666667,-5.85675343503,7.98203900898,-0.351327699193,4.89
1970--6--28.5833333333,-5.79712420792,8.0020420185,-0.34412774398,5.67
1970--6--28.625,-5.74205321186,8.02885433238,69.479681821,6.72
1970--6--28.6666666667,-5.70214017765,8.06762132577,6.72,7.89
1970--6--28.7083333333,-5.69501586668,8.12428905592,7.89,9.12
1970--6--28.75,-5.74969253694,8.20613660281,8.72769413753,10.38
1970--6--28.7916666667,-5.90572011417,8.32205509379,9.49805556347,11.49
1970--6--28.8333333333,-6.19447165996,8.47532502823,12.9872442039,12.57
1970--6--28.875,-6.66772696452,8.67198699405,13.2446270892,13.41
1970--6--28.9166666667,-7.3450714236,8.90424612609,13.2797597944,13.92
1970--6--28.9583333333,-8.19208486993,9.15328541574,13.3207745162,14.31
1970--6--29,-9.22063453363,9.41104104508,13.3694282637,14.58
1970--6--29.0416666667,-10.4420470902,9.66938829275,13.6404412023,14.64
1970--6--29.0833333333,-11.8128699346,9.91535126475,13.6776358575,14.52
1970--6--29.125,-13.2769884706,10.1401242995,13.7017296707,14.52
1970--6--29.1666666667,-14.9687834376,10.3528225553,13.7283515593,14.43
1970--6--29.2083333333,-16.9237657582,10.5502639776,13.944998278,14.19
1970--6--29.25,-19.1245207175,10.727412374,13.9449685817,13.92
1970--6--29.2916666667,-21.6801850059,10.8858013411,13.935935289,13.62
1970--6--29.3333333333,-24.7745315074,11.0268420545,13.9180970297,13.2
1970--6--29.375,-28.5618724605,11.1489028839,14.0583811456,12.78
1970--6--29.4166666667,-33.8328378643,11.2547751079,14.0119236342,12.33
1970--6--29.4583333333,-46.1358901094,11.345989401,13.9565082209,11.82
1970--6--29.5,-83.99,11.4233201868,13.8912625078,11.28
1970--6--29.5416666667,-35.4199425511,11.4882813723,13.9559774798,10.77
1970--6--29.5833333333,-30.5497786103,11.5432356477,13.8695695327,10.17
1970--6--29.625,-27.3082171751,11.5883762609,11.1864308473,9.6
1970--6--29.6666666667,-24.8999548758,11.6256340368,10.943023056,9.0
1970--6--29.7083333333,-23.0201848955,11.6559342381,10.806850024,8.4
1970--6--29.75,-21.502000784,11.6804062347,10.7098187053,7.89
1970--6--29.7916666667,-20.2489659453,11.7006397859,10.4666266578,7.35
1970--6--29.8333333333,-19.1942060934,11.7170658402,10.3528561968,6.9
1970--6--29.875,-18.282695907,11.7307305871,10.2375258146,6.42
1970--6--29.9166666667,-17.4988550396,11.7418815097,10.1172970319,6.0
1970--6--29.9583333333,-16.8114698261,11.751111925,9.89409740985,5.58
1970--6--30,-16.2094011247,11.7586856367,9.76474927791,5.22
1970--6--30.0416666667,-15.6719364183,11.7649991567,12.232313696,4.83
