time,lower,upper,prediction,ground_truth
1970--6--19.875,-2.35661382084,2.37641484279,-0.818648941764,-0.78
1970--6--19.9166666667,-2.34268072585,2.37438333021,-0.818564546117,-0.81
1970--6--19.9583333333,-2.3280838549,2.37212876024,-0.818587957688,-0.81
1970--6--20,-2.31346061999,2.36984358254,-0.818578618193,-0.81
1970--6--20.0416666667,-2.29988167794,2.36775707313,-0.818569298989,-0.9
1970--6--20.0833333333,-2.2881272349,2.36587315933,-0.818754387309,-0.93
1970--6--20.125,-2.27785924644,2.36423383096,-0.818906254459,-0.93
1970--6--20.1666666667,-2.26862296557,2.36278903113,-0.819025696326,-0.93
1970--6--20.2083333333,-2.26092112951,2.36162926648,-0.81914488163,-0.96
1970--6--20.25,-2.25417383165,2.36060608715,-0.819327644845,-0.93
1970--6--20.2916666667,-2.24797564471,2.35970652384,-0.81941436863,-0.93
1970--6--20.3333333333,-2.24276793125,2.35897280009,-0.819532755276,-0.93
1970--6--20.375,-2.23804934347,2.3583169267,-0.819650888713,-0.93
1970--6--20.4166666667,-2.23332774999,2.35765768518,-0.819768769752,-0.93
1970--6--20.4583333333,-2.22810976282,2.35691242782,-0.819886399202,-0.93
1970--6--20.5,-2.22288810052,2.35616304308,-0.820003777866,-1.02
1970--6--20.5416666667,-2.21854383797,2.35549295426,-0.820310314801,-1.02
1970--6--20.5833333333,-2.21369566591,2.35473070376,-0.820521599766,-1.02
1970--6--20.625,-2.20833915652,2.35387243071,-0.820732438071,-1.05
1970--6--20.6666666667,-2.20191031718,2.35277866461,-0.821005322245,-1.14
1970--6--20.7083333333,-2.19533871021,2.35156965937,-0.821432367453,-1.14
1970--6--20.75,-2.18716396933,2.35000912455,-0.821765643641,-1.14
1970--6--20.7916666667,-2.17680624685,2.34794095217,-0.82209822313,-1.14
1970--6--20.8333333333,-2.16532883584,2.34559158016,-0.822430108103,-1.26
1970--6--20.875,-2.15412365579,2.34314005601,-0.82300515051,-1.23
1970--6--20.9166666667,-2.14126756136,2.34028869152,-0.823396631604,-1.26
1970--6--20.9583333333,-2.12716451914,2.33704491983,-0.823878070989,-1.26
1970--6--21,-2.11361414221,2.33392614802,-0.824328291237,-1.26
1970--6--21.0416666667,-2.101191443,2.33108628547,-0.824777582646,-1.32
1970--6--21.0833333333,-2.08802982771,2.32794958474,-0.825345965706,-1.35
1970--6--21.125,-2.07651979253,2.32520477166,-0.825912865027,-1.32
1970--6--21.1666666667,-2.06562935494,2.32264482322,-0.826389252807,-1.35
1970--6--21.2083333333,-2.05638189289,2.32047303542,-0.826953927992,-1.35
1970--6--21.25,-2.04825687468,2.31858241432,-0.827487726548,-1.32
1970--6--21.2916666667,-2.04073040329,2.31686221073,-0.827961044102,-1.41
1970--6--21.3333333333,-2.03642388101,2.31587373857,-0.828640424842,-1.41
1970--6--21.375,-2.03375468019,2.31527399294,-0.829229837675,-1.41
1970--6--21.4166666667,-2.0321624017,2.31492158133,-0.829818055993,-1.41
1970--6--21.4583333333,-2.02840077408,2.31406066859,-0.830405083426,-1.44
1970--6--21.5,-2.02516521431,2.31331291112,-0.831049393593,-1.47
1970--6--21.5416666667,-2.02190925945,2.31254778504,-0.831721403884,-1.5
1970--6--21.5833333333,-2.01918691982,2.31190231637,-0.832420930427,-1.5
1970--6--21.625,-2.01590958372,2.31111851889,-0.833090113935,-1.59
1970--6--21.6666666667,-2.01313939366,2.31043232625,-0.833930201691,-1.59
1970--6--21.7083333333,-2.0092390403,2.30945241404,-0.834682582634,-1.59
1970--6--21.75,-2.00476746728,2.30831977538,-0.835433466437,-1.59
1970--6--21.7916666667,-2.01159966397,2.30980054022,-0.836182857568,-1.59
1970--6--21.8333333333,-2.03041353533,2.31260169491,-0.836930760478,-1.68
1970--6--21.875,-2.05263698756,2.31567677432,-0.837846772216,-1.65
1970--6--21.9166666667,-2.0752542105,2.3184459935,-0.838619993562,-1.68
