time,lower,upper,prediction,ground_truth
1970--5--25.875,-0.522702644975,-0.318084831942,-0.195604996144,-0.33
1970--5--25.9166666667,-0.521748243039,-0.317163936834,-0.196167609762,-0.33
1970--5--25.9583333333,-0.520770056364,-0.316266463547,-0.196447153779,-0.33
1970--5--26,-0.519768072877,-0.315392424509,-0.196725532399,-0.33
1970--5--26.0416666667,-0.518742264087,-0.314541848557,-0.197002752895,-0.33
1970--5--26.0833333333,-0.51769258497,-0.313714781068,-0.197278822479,-0.3
1970--5--26.125,-0.516888302159,-0.312335965961,-0.197430212405,-0.3
1970--5--26.1666666667,-0.51605069669,-0.310989974385,-0.197642614363,-0.3
1970--5--26.2083333333,-0.515180039181,-0.309676536281,-0.197854138441,-0.3
1970--5--26.25,-0.514276566385,-0.308395415455,-0.198064790069,-0.3
1970--5--26.2916666667,-0.513340482302,-0.307146408463,-0.198274574635,-0.3
1970--5--26.3333333333,-0.512371959123,-0.305929343672,-0.198483497481,-0.3
1970--5--26.375,-0.511371138008,-0.304744080481,-0.198691563905,-0.3
1970--5--26.4166666667,-0.510338129706,-0.303590508696,-0.198898779163,-0.3
1970--5--26.4583333333,-0.50927301504,-0.302468548053,-0.199105148468,-0.3
1970--5--26.5,-0.508175845234,-0.301378147882,-0.199310676988,-0.3
1970--5--26.5416666667,-0.50704664212,-0.300319286911,-0.199515369853,-0.3
1970--5--26.5833333333,-0.505885398191,-0.2992919732,-0.199719232148,-0.3
1970--5--26.625,-0.504692076533,-0.298296244221,-0.199922268919,-0.3
1970--5--26.6666666667,-0.503466610611,-0.297332167063,-0.200124485169,-0.3
1970--5--26.7083333333,-0.502208903923,-0.296399838784,-0.200325885862,-0.3
1970--5--26.75,-0.500918829505,-0.295499386904,-0.200526475924,-0.21
1970--5--26.7916666667,-0.500941943712,-0.292375974724,-0.200364950991,-0.36
1970--5--26.8333333333,-0.499343529878,-0.292399203481,-0.20098322344,-1.35
1970--5--26.875,-0.549515819913,-0.251798172414,-0.204990111031,-2.79
1970--5--26.9166666667,-0.704171102948,-0.124970807806,-0.211777984633,-4.32
1970--5--26.9583333333,-0.911525867046,0.0343598810987,-0.220337356928,-5.91
1970--5--27,-1.14857077163,0.202638288802,-0.230335553964,-7.53
1970--5--27.0416666667,-1.40373652786,0.369659441262,-0.241472002482,-8.52
1970--5--27.0833333333,-1.65082089146,0.517434014001,-0.252625483142,-9.21
1970--5--27.125,-1.88763729774,0.647317439898,-0.263936607945,-10.35
1970--5--27.1666666667,-2.12940084212,0.770645862207,-0.276125123624,-11.22
1970--5--27.2083333333,-2.37017209481,0.884515456399,-0.288512562438,-11.91
1970--5--27.25,-2.608080197,0.988837592959,-0.30106494049,-12.57
1970--5--27.2916666667,-2.84416981253,1.08506143595,-0.313829834854,-13.14
1970--5--27.3333333333,-3.07835007322,1.1738593447,-0.326730936971,-13.23
1970--5--27.375,-3.30575738356,1.25367324171,-0.339442959287,-13.23
1970--5--27.4166666667,-3.52694370387,1.32562421421,-0.352090050788,-13.26
1970--5--27.4583333333,-3.74358466837,1.39112957118,-0.364728982183,-13.47
1970--5--27.5,-3.9587633422,1.45193507083,-0.377481064901,-13.86
1970--5--27.5416666667,-4.17509837844,1.50933784677,-0.390401010348,-13.77
1970--5--27.5833333333,-4.38786171105,1.56182719749,-0.403090126583,-13.26
1970--5--27.625,-4.59297768355,1.60840510625,-0.415411905818,-12.57
1970--5--27.6666666667,-4.78852545141,1.64898111869,-0.42734646589,-11.91
1970--5--27.7083333333,-4.97475787305,1.68418316465,-0.438954107981,-11.31
1970--5--27.75,-5.15228283476,1.71466714581,-0.450254123207,-10.74
1970--5--27.7916666667,-5.32131005948,1.74089670615,-0.461228536961,-10.2
1970--5--27.8333333333,-5.48204331975,1.76328298238,-0.471873968173,-9.63
1970--5--27.875,-5.63373537242,1.78195448497,-0.482116481756,-9.09
1970--5--27.9166666667,-5.77654176888,1.79725932273,-10.4773541469,-8.52
