time,lower,upper,prediction,ground_truth
1970--6--17.7916666667,-3.32287361623,2.42970532997,-0.848258580996,0.09
1970--6--17.8333333333,-3.27916499647,2.4275565053,-0.845972346711,1.42108547152e-14
1970--6--17.875,-3.2359928188,2.42485137398,-0.845063523237,-0.03
1970--6--17.9166666667,-3.19290900309,2.4218386082,-0.844118042889,-0.06
1970--6--17.9583333333,-3.14934485756,2.4183907317,-0.843212558944,-0.06
1970--6--18,-3.10619505744,2.41487077599,-0.842271442936,-0.12
1970--6--18.0416666667,-3.06514900037,2.41136207646,-0.841482824607,-0.09
1970--6--18.0833333333,-3.02367875394,2.40775437625,-0.840546166273,-0.06
1970--6--18.125,-2.98235904944,2.40417969781,-0.839574088927,-0.06
1970--6--18.1666666667,-2.9482609186,2.40207966295,-0.838641827115,-0.06
1970--6--18.2083333333,-2.92005295321,2.40105448112,-0.837711794242,-0.03
1970--6--18.25,-2.90167510725,2.40163918822,-0.836708936581,-0.03
1970--6--18.2916666667,-2.88514674388,2.40239260433,-0.835745955465,-0.03
1970--6--18.3333333333,-2.86996744438,2.40324452833,-0.834785272749,1.42108547152e-14
1970--6--18.375,-2.85539848806,2.40423672533,-0.833751851829,1.42108547152e-14
1970--6--18.4166666667,-2.84169233934,2.40526787884,-0.832758367704,1.42108547152e-14
1970--6--18.4583333333,-2.82883876338,2.40633180575,-0.831767250696,0.03
1970--6--18.5,-2.81656625467,2.40751783149,-0.830703481361,0.03
1970--6--18.5416666667,-2.80160113915,2.40848101915,-0.829679708318,0.06
1970--6--18.5833333333,-2.7858833682,2.40946372885,-0.828583283083,-0.12
1970--6--18.625,-2.77129691916,2.40983530308,-0.827972992373,-0.18
1970--6--18.6666666667,-2.7563350203,2.40992993618,-0.827287784117,-0.27
1970--6--18.7083333333,-2.74084283415,2.40963347885,-0.826748479331,-0.36
1970--6--18.75,-2.72533139857,2.40902591467,-0.826316711093,-0.42
1970--6--18.7916666667,-2.70948706054,2.40816441988,-0.825920442277,-0.45
1970--6--18.8333333333,-2.69245603956,2.4069992818,-0.825524704608,-0.51
1970--6--18.875,-2.6745734286,2.40548192323,-0.825234679651,-0.54
1970--6--18.9166666667,-2.65650329677,2.40381004704,-0.824944941981,-0.54
1970--6--18.9583333333,-2.63839602154,2.40209549819,-0.824621129504,-0.6
1970--6--19,-2.62152574781,2.40040817176,-0.824436084182,-0.6
1970--6--19.0416666667,-2.60514167108,2.39877759973,-0.824182517701,-0.6
1970--6--19.0833333333,-2.58663141114,2.3967165369,-0.823929523569,-0.6
1970--6--19.125,-2.57018138486,2.39500999802,-0.823677099851,-0.57
1970--6--19.1666666667,-2.55435131513,2.39346272633,-0.823356665425,-0.6
1970--6--19.2083333333,-2.54040651292,2.39214273937,-0.823139705369,-0.57
1970--6--19.25,-2.52756002601,2.39105016878,-0.822820597579,-0.57
1970--6--19.2916666667,-2.51617194647,2.39016255048,-0.822536380759,-0.57
1970--6--19.3333333333,-2.50621769805,2.38946300237,-0.822252802302,-0.45
1970--6--19.375,-2.49570594782,2.38892564164,-0.821694674102,-0.48
1970--6--19.4166666667,-2.48601619259,2.3884136883,-0.821344328461,-0.45
1970--6--19.4583333333,-2.47547465661,2.38784497276,-0.820891264587,-0.45
1970--6--19.5,-2.46538925035,2.38732037,-0.820473684734,-0.48
1970--6--19.5416666667,-2.45518575636,2.38670361285,-0.820125889045,-0.45
1970--6--19.5833333333,-2.44412173913,2.38602183146,-0.819675722886,-0.48
1970--6--19.625,-2.4324452422,2.3851680991,-0.819329599467,-0.51
1970--6--19.6666666667,-2.42063713429,2.38420963411,-0.819018310852,-0.51
1970--6--19.7083333333,-2.40732162067,2.3829885599,-0.818673571177,-0.66
1970--6--19.75,-2.39493096805,2.38157574528,-0.818667051295,-0.72
1970--6--19.7916666667,-2.38231386997,2.37998260087,-0.818625167514,-0.78
1970--6--19.8333333333,-2.36999632695,2.37831282732,-0.818648941764,-0.78
