time,lower,upper,prediction,ground_truth
1970--5--30.0416666667,-8.68265963301,70.648053497,-55.38,-59.07
1970--5--30.0833333333,-8.83245873787,70.6479928505,-59.07,-61.26
1970--5--30.125,-8.9852614425,70.6479322019,-60.2999993485,-64.68
1970--5--30.1666666667,-9.14119702058,70.6478715512,-62.9052051374,-67.86
1970--5--30.2083333333,-9.30040344669,70.6478108984,-63.6629770383,-69.48
1970--5--30.25,-9.46302825306,70.6477502435,-64.105347307,-72.48
1970--5--30.2916666667,-9.62922937659,70.6476895866,-67.1312579439,-71.67
1970--5--30.3333333333,-9.79917614997,70.6476289276,-67.4059071429,-70.5
1970--5--30.375,-9.97305043565,70.6475682666,-67.6011865057,-68.1
1970--5--30.4166666667,-10.1510479008,70.6475076035,-68.9915901811,-67.11
1970--5--30.4583333333,-10.3333794683,70.6474469383,-68.3934274231,-67.14
1970--5--30.5,-10.5202729598,70.6473862711,-68.205605384,-67.38
1970--5--30.5416666667,-10.7119749603,70.6473256019,-68.1766525554,-63.24
1970--5--30.5833333333,-10.9087528976,70.6472649306,-65.8633157205,-58.26
1970--5--30.625,-11.1108970921,70.6472042574,-61.9481829601,-55.98
1970--5--30.6666666667,-11.3187241444,70.6471435824,-59.6675496832,-55.83
1970--5--30.7083333333,-11.5325813404,70.6470829054,-58.999199459,-56.73
1970--5--30.75,-11.7528490208,70.6470222262,-58.9138967341,-56.43
1970--5--30.7916666667,-11.9799439125,70.646961545,-58.4141814938,-54.24
1970--5--30.8333333333,-12.2143245005,70.6469008622,-57.4468538202,-51.24
1970--5--30.875,-12.4564954388,70.6468401789,-55.7143482197,-47.82
1970--5--30.9166666667,-12.7070085794,70.6467794983,-53.143453015,-45.96
1970--5--30.9583333333,-12.9675221062,70.6467185828,-51.4529173863,-44.46
1970--5--31,-13.2377810416,70.6466576715,-50.0410220064,-41.58
1970--5--31.0416666667,-13.5185165093,70.6465967791,-47.8067603561,-35.82
1970--5--31.0833333333,-13.8101574481,70.6465360004,-43.8496921394,-30.96
1970--5--31.125,-14.1128044941,70.6464755025,-39.9872219615,-30.21
1970--5--31.1666666667,-14.4285640922,70.6464150743,-38.2357423638,-29.49
1970--5--31.2083333333,-14.7586712342,70.6463547228,-37.0279907413,-29.85
1970--5--31.25,-15.1052988391,70.6462943286,-36.3886088912,-30.21
1970--5--31.2916666667,-15.4717278946,70.6462336554,-35.7116453661,-30.33
1970--5--31.3333333333,-15.8586269224,70.646172968,-35.3107550513,-30.54
1970--5--31.375,-16.2686093424,70.646112258,-35.0017900623,-30.45
1970--5--31.4166666667,-16.7045420102,70.6460515546,-34.5028629076,-30.3
1970--5--31.4583333333,-17.1700913142,70.6459908641,-34.2271715181,-29.79
1970--5--31.5,-17.6695040042,70.6459302253,-33.9126299486,-29.4
1970--5--31.5416666667,-18.2085381188,70.6458696292,-33.4296488405,-28.68
1970--5--31.5833333333,-18.7940060135,70.6458091222,-33.0837932004,-27.87
1970--5--31.625,-19.4350127252,70.6457487306,-32.6994300787,-26.94
1970--5--31.6666666667,-20.1436085487,70.6456884941,-32.0900756735,-24.99
1970--5--31.7083333333,-20.9332949621,70.6456286787,-31.411536279,-25.05
1970--5--31.75,-21.8344967942,70.645568846,-31.0232400842,-24.03
1970--5--31.7916666667,-22.8807608886,70.6455092915,-30.3157633365,-23.28
1970--5--31.8333333333,-24.1343111077,70.645449973,-29.8000627944,-22.83
1970--5--31.875,-25.7106448928,70.64539081,-29.3370545919,-22.5
1970--5--31.9166666667,-27.8608903194,70.6453317679,-28.7520627907,-22.23
1970--5--31.9583333333,-31.3548520976,70.6452728294,-28.3664207634,-21.93
1970--5--32,-83.99,70.6452140116,-27.9987134424,-21.81
