time,lower,upper,prediction,ground_truth
1970--5--27.9583333333,-5.90961110274,1.80928335841,0.274108131447,-7.86
1970--5--28,-6.03093062271,1.8178789723,-10.5733363842,-7.2
1970--5--28.0416666667,-6.14002533784,1.82327669328,-10.3818337846,-6.48
1970--5--28.0833333333,-6.23532669889,1.82551544572,-10.1620473786,-5.79
1970--5--28.125,-6.31709393241,1.82501618875,-9.92222359987,-5.13
1970--5--28.1666666667,-6.38579304535,1.82222693879,-9.83461093004,-4.44
1970--5--28.2083333333,-6.44105655328,1.81729463112,0.196812892648,-3.84
1970--5--28.25,-6.48484581954,1.81109020577,0.18549945383,-3.21
1970--5--28.2916666667,-6.51721206754,1.80410870382,0.174417891945,-2.76
1970--5--28.3333333333,-6.54196428218,1.79696133969,0.16326042979,-2.34
1970--5--28.375,-6.5601932873,1.79002823116,0.152198328501,-1.92
1970--5--28.4166666667,-6.57261163909,1.78372202733,0.141343555392,-1.5
1970--5--28.4583333333,-6.58008362197,1.77851116129,0.130855093307,-1.11
1970--5--28.5,-6.58387864426,1.77479033953,0.120622014338,-1.02
1970--5--28.5416666667,-6.58695467006,1.77147857176,0.110157122692,-0.84
1970--5--28.5833333333,-6.58878646099,1.7690803009,0.0999839361572,-0.75
1970--5--28.625,-6.59008535509,1.76718237927,0.0898018408298,-0.72
1970--5--28.6666666667,-6.59121855808,1.76545704974,0.0795737454425,0.12
1970--5--28.7083333333,-6.59093288138,1.77009390578,0.0712679582037,1.71
1970--5--28.75,-6.60977837102,1.79664521716,0.0666007162435,5.76
1970--5--28.7916666667,-6.93614573658,1.98276648954,0.075412179683,40.77
1970--5--28.8333333333,67.2158419029,19.8071140495,33.3256130265,44.16
1970--5--28.875,67.0930090888,24.6220615921,37.4465911192,33.39
1970--5--28.9166666667,67.082932997,25.1132442712,34.4812099452,81.0
1970--5--28.9583333333,62.7166172686,52.5073195779,66.1243314202,91.53
1970--5--29,54.1967370754,62.8310910735,76.2039843291,86.91
1970--5--29.0416666667,49.6178625298,65.4551040047,76.8175706202,90.96
1970--5--29.0833333333,38.4016634338,68.4206157859,79.9072524736,87.75
1970--5--29.125,19.4604967022,69.9460669653,81.9296582451,78.42
1970--5--29.1666666667,-83.99,70.3872214717,80.5462266896,67.89
1970--5--29.2083333333,-16.4577890287,70.5079507583,79.0678594234,62.73
1970--5--29.25,0.702082678511,70.5729708019,78.0032295358,59.64
1970--5--29.2916666667,6.41668685874,70.6180857966,78.175840848,53.52
1970--5--29.3333333333,9.54918970794,70.6406069494,77.0718163914,41.88
1970--5--29.375,10.7734297185,70.6470582391,75.9358747192,28.08
1970--5--29.4166666667,11.1132662511,70.6485740872,74.8965142501,12.99
1970--5--29.4583333333,11.1725359358,70.648823179,74.7910348696,-1.44
1970--5--29.5,11.1707599453,70.6488158228,73.8534222026,-10.92
1970--5--29.5416666667,11.1594845835,70.648769275,72.9800334304,-16.71
1970--5--29.5833333333,11.1461677289,70.6487143991,72.1612783819,-21.48
1970--5--29.625,11.1320620327,70.6486563654,72.1260571719,-27.39
1970--5--29.6666666667,11.1175185443,70.6485966238,71.3556830331,-31.38
1970--5--29.7083333333,11.102834898,70.6485363972,70.6283349035,-29.76
1970--5--29.75,11.0881671869,70.6484763242,69.9396331768,-29.13
1970--5--29.7916666667,11.0734954687,70.6484163232,68.4368345979,-29.73
1970--5--29.8333333333,11.0587841283,70.6483562496,67.7893561,-32.4
1970--5--29.875,11.0439924072,70.6482959384,67.1732113081,-37.65
1970--5--29.9166666667,11.0291230695,70.6482354022,66.585618919,-44.52
1970--5--29.9583333333,11.0142101229,70.64817478,63.1546656151,-50.13
1970--5--30,10.9992705655,70.648114141,0.825516471586,-55.38
