time,lower,upper,prediction,ground_truth
1970--6--1.125,-13.6156171144,70.6450381832,-21.2665402619,-20.85
1970--6--1.16666666667,-13.8987755097,70.6449798508,-21.0548784111,-20.58
1970--6--1.20833333333,-14.1929685401,70.6449216534,-20.9012117885,-20.1
1970--6--1.25,-14.4985188552,70.644863712,-20.6757117278,-19.65
1970--6--1.29166666667,-14.816441191,70.6448060285,-20.4482200375,-19.38
1970--6--1.33333333333,-15.1484717731,70.6447485079,-20.2666873906,-19.02
1970--6--1.375,-15.4956370499,70.6446912159,-20.0699337607,-18.84
1970--6--1.41666666667,-15.8602682466,70.644634042,-19.9150397551,-18.63
1970--6--1.45833333333,-16.2442019457,70.6445770106,-19.7648670441,-18.99
1970--6--1.5,-16.6544080117,70.644519493,-19.7311033935,-17.82
1970--6--1.54166666667,-17.0841682577,70.644462819,-19.4562430455,-16.98
1970--6--1.58333333333,-17.5370489786,70.644406848,-19.1665822896,-16.14
1970--6--1.625,-18.0153393522,70.6443516727,-18.8371428149,-15.36
1970--6--1.66666666667,-18.5223193493,70.6442973288,-18.4852315379,-14.67
1970--6--1.70833333333,-19.0625353969,70.6442438022,-18.1262944026,-13.98
1970--6--1.75,-19.6405807163,70.6441911775,-17.7533523613,-13.32
1970--6--1.79166666667,-20.2627042592,70.6441395017,-17.373735558,-12.84
1970--6--1.83333333333,-20.9405027163,70.644088573,-17.0185560265,-11.79
1970--6--1.875,-21.6698026078,70.6440394642,-16.5656187553,-10.74
1970--6--1.91666666667,-22.4564719358,70.6439924569,-8.52110133351,-9.72
1970--6--1.95833333333,-23.308229448,70.643947797,-9.00386006233,-8.76
1970--6--2,-24.2363562731,70.6439056577,-9.47139369884,-7.83
1970--6--2.04166666667,-25.2538054351,70.6438662833,-9.83414374986,-6.69
1970--6--2.08333333333,-26.3478662533,70.6438307872,-9.66960948713,-5.94
1970--6--2.125,-27.5723333546,70.6437981698,-9.49618682766,-5.25
1970--6--2.16666666667,-28.9735212192,70.6437684542,-9.30411440779,-4.62
1970--6--2.20833333333,-30.6351724125,70.6437416174,-9.09741518673,-3.99
1970--6--2.25,-32.7010380057,70.6437178953,-8.87405965557,-3.03
1970--6--2.29166666667,-35.1803181622,70.6436994122,-8.60033294439,-2.28
1970--6--2.33333333333,-38.5068145099,70.6436854736,-8.31613176732,-1.53
1970--6--2.375,-43.7497513546,70.6436765131,-8.01170742524,-0.75
1970--6--2.41666666667,-83.99,70.6436732297,-7.68459021284,-0.06
1970--6--2.45833333333,-45.2269614924,70.6436754287,-7.34802299892,0.3
1970--6--2.5,-40.5673326253,70.6436806714,-7.03616205434,0.69
1970--6--2.54166666667,-37.3312689491,70.6436893604,-6.72572287112,0.99
1970--6--2.58333333333,-34.9503313993,70.6437008101,-3.46060561275,1.17
1970--6--2.625,-33.1450500168,70.6437139635,-2.533697884,1.32
1970--6--2.66666666667,-31.6813068181,70.643728564,-2.30384189141,1.41
1970--6--2.70833333333,-30.4725942061,70.6437440451,-2.09731252116,1.56
1970--6--2.75,-29.3977822236,70.6437610144,-1.89927995584,1.68
1970--6--2.79166666667,-28.438697404,70.6437791932,-1.71569584909,1.95
1970--6--2.83333333333,-27.5034004766,70.6438001558,-1.5256474163,2.19
1970--6--2.875,-26.6088047519,70.643823667,-1.34141376881,2.46
1970--6--2.91666666667,-25.7428877564,70.6438501312,-1.15741441866,3.09
1970--6--2.95833333333,-24.7964824833,70.643883854,-0.936173266601,3.39
1970--6--3,-23.8969885676,70.6439212216,-0.734683691948,3.69
1970--6--3.04166666667,-23.0394755659,70.6439623608,-0.534423446632,3.93
1970--6--3.08333333333,-22.233107315,70.6440066112,-0.341358161124,4.11
1970--6--3.125,-21.4860700109,70.64405301,0.00471664025275,4.32
1970--6--3.16666666667,-20.779003652,70.6441022587,0.182730807236,4.53
